Name,Security Type,Symbol,Issue Period,Issue Size No. of Shares,Price Band,Face Value,Market Lot
Concord Biotech Limited,Equity,CONCORDBIO,04 Aug 2023 to 08 Aug 2023,"1,46,50,957",705.00-741.00,1,20
Sbfc Finance Limited,Equity,SBFC,03 Aug 2023 to 07 Aug 2023,"13,35,12,817",54.00-57.00,10,260
Yatharth Hospital And Trauma Care Services Limited,Equity,YATHARTH,26 Jul 2023 to 28 Jul 2023,"1,65,17,823",285.00-300.00,10,50
Asarfi Hospital Limited,Equity,ASARFI,17 Jul 2023 to 19 Jul 2023,"51,80,000",51.00-52.00,10,2000
Netweb Technologies India Limited,Equity,NETWEB,17 Jul 2023 to 19 Jul 2023,"88,58,630",475.00-500.00,2,30
Utkarsh Small Finance Bank Limited,Equity,UTKARSHBNK,12 Jul 2023 to 14 Jul 2023,"12,05,43,477",23.00-25.00,10,600
Kaka Industries Limited,Equity,KAKA,10 Jul 2023 to 12 Jul 2023,"26,22,000",55.00-58.00,10,2000
Senco Gold Limited,Equity,SENCO,04 Jul 2023 to 06 Jul 2023,"94,18,603",301.00-317.00,10,47
Pkh Ventures Limited,Equity,PKH,30 Jun 2023 to 04 Jul 2023,"2,56,32,000",140.00-148.00,5,100
Cyient Dlm Limited,Equity,CYIENTDLM,27 Jun 2023 to 30 Jun 2023,"1,33,32,297",250.00-265.00,10,56
Ideaforge Technology Limited,Equity,IDEAFORGE,26 Jun 2023 to 30 Jun 2023,"46,48,870",638.00-672.00,10,22
Hma Agro Industries Ltd,Equity,HMA,20 Jun 2023 to 23 Jun 2023,"60,54,054",555.00-585.00,10,25
Cosmic Crf Limited,Equity,COSMICCRF,14 Jun 2023 to 21 Jun 2023,"18,22,000",298.00-314.00,10,400
Ikio Lighting Limited,Equity,IKIO,06 Jun 2023 to 08 Jun 2023,"1,52,24,074",270.00-285.00,10,52
Comrade Appliances Limited,Equity,COMRADE,31 May 2023 to 05 Jun 2023,"16,30,000",52.00-54.00,10,2000
Hemant Surgical Industries Ltd,Equity,HSIL,24 May 2023 to 26 May 2023,"19,77,600",85.00-90.00,10,1600
Innokaiz India Limited,Equity,INNOKAIZ,28 Apr 2023 to 03 May 2023,"19,40,800",76.00-78.00,10,1600
Mankind Pharma Limited,Equity,MANKIND,25 Apr 2023 to 27 Apr 2023,"2,80,41,192",1026.00-1080.00,1,13
Avalon Technologies Limited,Equity,AVALON,03 Apr 2023 to 06 Apr 2023,"1,14,63,854",415.00-436.00,2,34
Exhicon Events Media Solutions Limited,Equity,EXHICON,31 Mar 2023 to 05 Apr 2023,"33,00,000",61.00-64.00,10,2000
Maiden Forgings Limited,Equity,MAIDEN,23 Mar 2023 to 27 Mar 2023,"37,84,000",60.00-63.00,10,2000
Udayshivakumar Infra Limited,Equity,USK,20 Mar 2023 to 23 Mar 2023,"2,00,00,000",33.00-35.00,10,428
Global Surfaces Limited,Equity,GSLSU,13 Mar 2023 to 15 Mar 2023,"77,49,000",133.00-140.00,10,100
Sudarshan Pharma Industries Limited,Equity,SUDARSHAN,09 Mar 2023 to 14 Mar 2023,"68,62,400",71.00-73.00,10,1600
Divgi Torqtransfer Systems Limited,Equity,DIVGIITTS,01 Mar 2023 to 03 Mar 2023,"38,41,800",560.00-590.00,5,25
Resgen Limited,Equity,RESGEN,28 Feb 2023 to 02 Mar 2023,"60,00,000",45.00-47.00,10,3000
Macfos Limited,Equity,ROBU,17 Feb 2023 to 21 Feb 2023,"16,68,000",96.00-102.00,10,1200
Sealmatic India Limited,Equity,SEALMATIC,17 Feb 2023 to 21 Feb 2023,"19,30,200",220.00-225.00,10,600
Adani Enterprises Ltd,Equity,ADANIENTPP,27 Jan 2023 to 31 Jan 2023,"4,55,06,791",1556.00-1638.00,1,4
Earthstahl & Alloys Limited,Equity,EARTH,27 Jan 2023 to 31 Jan 2023,"32,40,000",38.00-40.00,10,3000
Sah Polymers Limited,Equity,SAH,30 Dec 2022 to 04 Jan 2023,"56,10,000",61.00-65.00,10,230
Radiant Cash Management Services Limited,Equity,RADIANTCMS,23 Dec 2022 to 27 Dec 2022,"2,74,29,925",94.00-99.00,1,150
Elin Electronics Ltd,Equity,ELIN,20 Dec 2022 to 22 Dec 2022,"1,42,09,386",234.00-247.00,5,60
Kfin Technologies Ltd,Equity,KFINTECH,19 Dec 2022 to 21 Dec 2022,"2,37,75,215",347.00-366.00,10,40
Abans Holdings Limited,Equity,AHL,12 Dec 2022 to 15 Dec 2022,"1,28,00,000",256.00-270.00,2,55
Droneacharya Aerial Innovations Ltd,Equity,DRONACHRYA,13 Dec 2022 to 15 Dec 2022,"45,00,000",52.00-54.00,10,2000
Landmark Cars Limited,Equity,LANDMARK,13 Dec 2022 to 15 Dec 2022,"80,41,805",481.00-506.00,5,29
Sula Vineyards Limited,Equity,SULA,12 Dec 2022 to 14 Dec 2022,"1,88,30,372",340.00-357.00,2,42
Uniparts India Limited,Equity,UNIPARTS,30 Nov 2022 to 02 Dec 2022,"1,01,37,360",548.00-577.00,10,25
Dharmaj Crop Guard Ltd,Equity,DHARMAJ,28 Nov 2022 to 30 Nov 2022,"80,12,990",216.00-237.00,10,60
Keystone Realtors Limited,Equity,RUSTOMJEE,14 Nov 2022 to 16 Nov 2022,"86,47,858",514.00-541.00,10,27
Inox Green Energy Services Ltd,Equity,INOXGREEN,11 Nov 2022 to 15 Nov 2022,"6,67,21,310",61.00-65.00,10,230
Kaynes Technology India Limited,Equity,KAYNES,10 Nov 2022 to 14 Nov 2022,"1,50,65,880",559.00-587.00,10,25
Archean Chemical Industries Ltd,Equity,ARCHEAN,09 Nov 2022 to 11 Nov 2022,"1,99,57,325",386.00-407.00,2,36
Five Star Business Finance Limited,Equity,FIVESTAR,09 Nov 2022 to 11 Nov 2022,"3,04,88,966",450.00-474.00,1,31
Bikaji Foods International Limited,Equity,BIKAJI,03 Nov 2022 to 07 Nov 2022,"2,06,36,790",285.00-300.00,1,50
Global Health Limited,Equity,MEDANTA,03 Nov 2022 to 07 Nov 2022,"4,67,42,397",319.00-336.00,2,44
Fusion Micro Finance Limited,Equity,FUSION,02 Nov 2022 to 04 Nov 2022,"2,13,75,525",350.00-368.00,10,40
Dcx Systems Ltd,Equity,DCX,31 Oct 2022 to 02 Nov 2022,"1,45,11,146",197.00-207.00,2,72
Tracxn Technologies Limited,Equity,TRACXN,10 Oct 2022 to 12 Oct 2022,"2,12,69,714",75.00-80.00,1,185
Electronics Mart India Limited,Equity,EMIL,04 Oct 2022 to 07 Oct 2022,"6,25,00,000",56.00-59.00,10,254
Concord Control Systems Limited,Equity,CCSL,27 Sep 2022 to 29 Sep 2022,"10,84,000",53.00-55.00,10,2000
Insolation Energy Limited,Equity,INA,26 Sep 2022 to 29 Sep 2022,"61,56,000",36.00-38.00,10,3000
Harsha Engineers International Limited,Equity,HARSHA,14 Sep 2022 to 16 Sep 2022,"1,68,63,795",314.00-330.00,10,45
Tamilnad Mercantile Bank Limited,Equity,TMB,05 Sep 2022 to 07 Sep 2022,"87,12,000",500.00-525.00,10,28
Dreamfolks Services Ltd,Equity,DREAMFOLKS,24 Aug 2022 to 26 Aug 2022,"94,83,302",308.00-326.00,2,46
Syrma Sgs Technology Limited,Equity,SYRMA,12 Aug 2022 to 18 Aug 2022,"2,85,63,816",209.00-220.00,10,68
Aether Industries Limited,Equity,AETHER,24 May 2022 to 26 May 2022,"93,56,193",610.00-642.00,10,23
Emudhra Limited,Equity,EMUDHRA,20 May 2022 to 24 May 2022,"1,64,60,908",243.00-256.00,5,58
Ethos Limited,Equity,ETHOSLTD,18 May 2022 to 20 May 2022,"55,93,682",836.00-878.00,10,17
Paradeep Phosphates Limited,Equity,PARADEEP,17 May 2022 to 19 May 2022,"37,59,43,390",39.00-42.00,10,350
Delhivery Limited,Equity,DELHIVERY,11 May 2022 to 13 May 2022,"6,25,41,023",462.00-487.00,1,30
Venus Pipes & Tubes Limited,Equity,VENUSPIPES,11 May 2022 to 13 May 2022,"35,51,914",310.00-326.00,10,46
Prudent Corporate Advisory Services Limited,Equity,PRUDENT,10 May 2022 to 12 May 2022,"60,18,689",595.00-630.00,5,23
Life Insurance Corporation Of India,Equity,LICI,04 May 2022 to 09 May 2022,"16,20,78,067",902.00-949.00,10,15
Rainbow Childrens Medicare Limited,Equity,RAINBOW,27 Apr 2022 to 29 Apr 2022,"2,05,14,617",516.00-542.00,10,27
Campus Activewear Limited,Equity,CAMPUS,26 Apr 2022 to 28 Apr 2022,"3,36,25,000",278.00-292.00,5,51
Hariom Pipe Industries Lt,Equity,HARIOM,30 Mar 2022 to 05 Apr 2022,"85,00,000",144.00-153.00,10,98
Veranda Learning Solutions Limited,Equity,VERANDA,29 Mar 2022 to 31 Mar 2022,"1,17,88,365",130.00-137.00,10,100
Ruchi Soya Industries Ltd,Equity,RUCHISOYA,24 Mar 2022 to 30 Mar 2022,"6,99,08,699",615.00-650.00,2,21
Uma Exports Limited,Equity,UMAEXPORTS,28 Mar 2022 to 30 Mar 2022,"92,30,769",65.00-68.00,10,220
Vedant Fashions Ltd,Equity,MANYAVAR,04 Feb 2022 to 08 Feb 2022,"2,54,55,388",824.00-866.00,1,17
