,Security Type,Symbol,Issue Period,Face Value,Market Lot
81,Equity,SCARNOSE,14 Jun 2022 to 17 Jun 2022,10.00,2000
82,Equity,SILVERPRL,06 Jun 2022 to 09 Jun 2022,10.00,8000
83,Equity,FONE4,25 Apr 2022 to 27 Apr 2022,10.00,10000
84,Equity,NVENTURES,25 Apr 2022 to 27 Apr 2022,10.00,3000
85,Equity,GLHRL,21 Apr 2022 to 25 Apr 2022,10.00,1000
86,Equity,SFSL,20 Apr 2022 to 25 Apr 2022,10.00,3000
87,Equity,EIGHTY,31 Mar 2022 to 05 Apr 2022,10.00,3000
88,Equity,SEML,30 Mar 2022 to 05 Apr 2022,10.00,1000
89,Equity,DHYAANI,30 Mar 2022 to 04 Apr 2022,10.00,2000
90,Equity,ACHYUT,17 Mar 2022 to 22 Mar 2022,10.00,6000
91,Equity,EVOQ,17 Mar 2022 to 22 Mar 2022,10.00,4000
92,Equity,BCCL,14 Mar 2022 to 16 Mar 2022,10.00,1600
93,Equity,EKENNIS,21 Feb 2022 to 24 Feb 2022,10.00,1600
94,Equity,MARUTIIPL,03 Feb 2022 to 08 Feb 2022,10.00,2000
95,Equity,QRIL,27 Jan 2022 to 01 Feb 2022,10.00,2000
96,Equity,SSTL,28 Jan 2022 to 01 Feb 2022,10.00,10000
97,Equity,ALKOSIGN,18 Jan 2022 to 21 Jan 2022,10.00,3000
98,Equity,DJMPL,18 Jan 2022 to 20 Jan 2022,10.00,1000
99,Equity,FABINO,31 Dec 2021 to 05 Jan 2022,10.00,3000
100,Equity,ASCENSIVE,30 Dec 2021 to 04 Jan 2022,10.00,4000
101,Equity,BRNDBUCKET,20 Dec 2021 to 23 Dec 2021,10.00,2000
102,Equity,CLARA,16 Dec 2021 to 21 Dec 2021,10.00,3000
103,Equity,WITS,16 Dec 2021 to 21 Dec 2021,10.00,800
104,Equity,DMR,24 Nov 2021 to 29 Nov 2021,10.00,6000
105,Equity,OMNIPOTENT,16 Nov 2021 to 22 Nov 2021,10.00,2000
106,Equity,SGFRL,01 Nov 2021 to 08 Nov 2021,10.00,3000
107,Equity,ADISHAKTI,30 Sep 2021 to 05 Oct 2021,10.00,10000
108,Equity,CWD,30 Sep 2021 to 05 Oct 2021,10.00,800
109,Equity,SAMOR,30 Sep 2021 to 05 Oct 2021,10.00,2000
110,Equity,PROMAX,30 Sep 2021 to 04 Oct 2021,10.00,10000
111,Equity,SVRL,29 Sep 2021 to 01 Oct 2021,10.00,3000
112,Equity,GETALONG,27 Sep 2021 to 30 Sep 2021,10.00,2000
113,Equity,MTCL,15 Sep 2021 to 20 Sep 2021,10.00,1600
114,Equity,SBL,16 Sep 2021 to 20 Sep 2021,10.00,1200
115,Equity,POBS,02 Sep 2021 to 07 Sep 2021,10.00,1200
116,Equity,AASHKA,10 Aug 2021 to 24 Aug 2021,10.00,1000
117,Equity,GCSL,27 Jul 2021 to 30 Jul 2021,10.00,800
118,Equity,AAPLUSTRAD,08 Jul 2021 to 13 Jul 2021,10.00,8000
119,Equity,FOCUS,30 Jun 2021 to 05 Jul 2021,10.00,6000
120,Equity,TIMESGREEN,16 Jun 2021 to 22 Jun 2021,10.00,2000
121,Equity,ADESHWAR,15 Jun 2021 to 18 Jun 2021,10.00,6000
122,Equity,NAVODAYENT,14 Jun 2021 to 17 Jun 2021,10.00,6000
123,Equity,KGES,20 Apr 2021 to 27 Apr 2021,10.00,6000
124,Equity,JETMALL,31 Mar 2021 to 07 Apr 2021,10.00,6000
125,Equity,RCAN,31 Mar 2021 to 06 Apr 2021,10.00,6000
126,Equity,NTL,19 Mar 2021 to 23 Mar 2021,10.00,600
127,Equity,KMEW,09 Mar 2021 to 12 Mar 2021,10.00,3000
128,Equity,RTL,09 Mar 2021 to 12 Mar 2021,10.00,600
129,Equity,AGOL,03 Mar 2021 to 08 Mar 2021,10.00,1600
130,Equity,ADJIA,02 Mar 2021 to 04 Mar 2021,10.00,1600
131,Equity,MRP,08 Feb 2021 to 10 Feb 2021,10.00,3000
132,Equity,NETPIX,18 Nov 2020 to 23 Nov 2020,10.00,4000
133,Equity,SHINEFASH,22 Oct 2020 to 26 Oct 2020,10.00,3000
134,Equity,VGIL,30 Sep 2020 to 09 Oct 2020,10.00,4000
135,Equity,GMPL,30 Sep 2020 to 06 Oct 2020,10.00,800
136,Equity,ATAM,18 Sep 2020 to 25 Sep 2020,10.00,3000
137,Equity,SECMARK,18 Sep 2020 to 23 Sep 2020,10.00,1000
138,Equity,ADVAIT,15 Sep 2020 to 18 Sep 2020,10.00,2000
139,Equity,HIPPOCABS,18 Aug 2020 to 20 Aug 2020,10.00,1200
140,Equity,SBGLP,03 Aug 2020 to 05 Aug 2020,10.00,8000
141,Equity,BONLON,30 Jun 2020 to 03 Jul 2020,10.00,4000
142,Equity,BILLWIN,18 Jun 2020 to 22 Jun 2020,10.00,3000
143,Equity,NIRMITEE,31 Mar 2020 to 09 Apr 2020,10.00,600
144,Equity,DJML,26 Mar 2020 to 31 Mar 2020,10.00,6000
145,Equity,COSPOWER,17 Mar 2020 to 19 Mar 2020,10.00,2000
146,Equity,ROJL,12 Mar 2020 to 17 Mar 2020,10.00,3000
147,Equity,SMAUTO,03 Mar 2020 to 05 Mar 2020,10.00,8000
148,Equity,ICLORGANIC,31 Jan 2020 to 07 Feb 2020,10.00,6000
149,Equity,CBPL,31 Jan 2020 to 06 Feb 2020,10.00,2000
150,Equity,JANUSCORP,27 Jan 2020 to 30 Jan 2020,10.00,3000
151,Equity,TRANWAY,27 Jan 2020 to 29 Jan 2020,10.00,10000
152,Equity,GIANLIFE,31 Dec 2019 to 03 Jan 2020,10.00,6000
153,Equity,VALENCIA,23 Dec 2019 to 27 Dec 2019,10.00,3000
154,Equity,ANUROOP,08 Nov 2019 to 13 Nov 2019,10.00,10000
155,Equity,GALACTICO,24 Sep 2019 to 27 Sep 2019,10.00,6000
156,Equity,MISQUITA,23 Sep 2019 to 25 Sep 2019,10.00,4000
157,Equity,NOVATEOR,30 Aug 2019 to 04 Sep 2019,10.00,6000
158,Equity,ALPHALOGIC,26 Aug 2019 to 28 Aug 2019,10.00,1600
159,Equity,TRANSPACT,26 Aug 2019 to 28 Aug 2019,10.00,1000
160,Equity,SKIEL,28 Jun 2019 to 05 Jul 2019,10.00,6000
161,Equity,CPML,27 Jun 2019 to 03 Jul 2019,10.00,4000
162,Equity,EARUM,21 Jun 2019 to 26 Jun 2019,10.00,3000
163,Equity,SBC,24 Jun 2019 to 26 Jun 2019,10.00,6000
164,Equity,ARL,18 Jun 2019 to 24 Jun 2019,10.00,4000
165,Equity,PARSHVA,19 Jun 2019 to 21 Jun 2019,10.00,3000
166,Equity,MEERA,13 Jun 2019 to 18 Jun 2019,10.00,500
167,Equity,EVANS,30 Apr 2019 to 03 May 2019,10.00,2000
168,Equity,WORL,26 Apr 2019 to 02 May 2019,10.00,2000
169,Equity,GKP,23 Apr 2019 to 26 Apr 2019,10.00,4000
170,Equity,VRFILMS,12 Apr 2019 to 18 Apr 2019,10.00,2000
171,Equity,JINAAM,09 Apr 2019 to 15 Apr 2019,10.00,2000
172,Equity,NSL,22 Mar 2019 to 27 Mar 2019,10.00,3000
173,Equity,ROOPSHRI,19 Mar 2019 to 22 Mar 2019,10.00,6000
174,Equity,HBEL,15 Mar 2019 to 19 Mar 2019,10.00,1000
175,Equity,AARTECH,12 Mar 2019 to 18 Mar 2019,10.00,4000
176,Equity,AGOL,13 Mar 2019 to 18 Mar 2019,10.00,2000
177,Equity,MAHIP,26 Feb 2019 to 01 Mar 2019,10.00,4000
178,Equity,GLEAM,19 Feb 2019 to 22 Feb 2019,10.00,10000
179,Equity,KRANTI,14 Feb 2019 to 20 Feb 2019,10.00,3000
180,Equity,JONJUA,12 Feb 2019 to 15 Feb 2019,10.00,10000
181,Equity,ANMOL,12 Feb 2019 to 14 Feb 2019,10.00,4000
182,Equity,KPIGLOBAL,08 Jan 2019 to 11 Jan 2019,10.00,1600
183,Equity,AXITA,27 Dec 2018 to 02 Jan 2019,10.00,2000
184,Equity,SRD,12 Dec 2018 to 14 Dec 2018,10.00,3000
185,Equity,DGL,26 Nov 2018 to 28 Nov 2018,10.00,4000
186,Equity,RONI,19 Nov 2018 to 22 Nov 2018,10.00,6000
187,Equity,SKIFL,15 Nov 2018 to 22 Nov 2018,10.00,10000
188,Equity,BCPL,05 Oct 2018 to 19 Oct 2018,10.00,4000
189,Equity,VIEL,28 Sep 2018 to 12 Oct 2018,10.00,2000
190,Equity,SMGOLD,03 Oct 2018 to 10 Oct 2018,10.00,4000
191,Equity,SUNRETAIL,27 Sep 2018 to 08 Oct 2018,10.00,6000
192,Equity,AKI,28 Sep 2018 to 05 Oct 2018,10.00,10000
193,Equity,SHUBHAM,28 Sep 2018 to 04 Oct 2018,10.00,3000
194,Equity,AAL,25 Sep 2018 to 01 Oct 2018,10.00,2000
195,Equity,DOLFIN,27 Sep 2018 to 01 Oct 2018,10.00,4000
196,Equity,MAC,19 Sep 2018 to 25 Sep 2018,10.00,6000
197,Equity,SKYGOLD,18 Sep 2018 to 24 Sep 2018,10.00,800
198,Equity,RANJEET,12 Sep 2018 to 17 Sep 2018,10.00,6000
199,Equity,SYNERGY,04 Sep 2018 to 11 Sep 2018,10.00,2000
200,Equity,ASPL,21 Aug 2018 to 30 Aug 2018,10.00,4000
201,Equity,SMEL,09 Aug 2018 to 14 Aug 2018,10.00,10000
202,Equity,DPL,08 Aug 2018 to 13 Aug 2018,10.00,3000
203,Equity,SALEBHAI,27 Jul 2018 to 01 Aug 2018,10.00,1200
204,Equity,GFIL,16 Jul 2018 to 23 Jul 2018,10.00,1600
205,Equity,SUPERSHAK,17 Jul 2018 to 20 Jul 2018,10.00,300
206,Equity,RAWEDGE,05 Jul 2018 to 10 Jul 2018,10.00,1600
207,Equity,RAJNISH,25 Jun 2018 to 29 Jun 2018,10.00,1200
208,Equity,PALMJEWELS,25 May 2018 to 04 Jun 2018,10.00,4000
209,Equity,WAA,31 May 2018 to 04 Jun 2018,10.00,800
210,Equity,NGIL,23 May 2018 to 29 May 2018,10.00,4000
211,Equity,ARIHANTINS,23 May 2018 to 28 May 2018,10.00,4000
212,Equity,MEGASTAR,14 May 2018 to 16 May 2018,10.00,4000
213,Equity,UHZAVERI,08 May 2018 to 14 May 2018,10.00,3000
214,Equity,MILEFUR,07 May 2018 to 11 May 2018,10.00,3000
215,Equity,AKSHAR,27 Apr 2018 to 03 May 2018,10.00,3000
216,Equity,INDOUS,30 Apr 2018 to 03 May 2018,10.00,2000
217,Equity,DCSL,27 Apr 2018 to 02 May 2018,10.00,2000
218,Equity,DLCL,25 Apr 2018 to 27 Apr 2018,10.00,4000
219,Equity,GARVIND,12 Apr 2018 to 17 Apr 2018,10.00,10000
220,Equity,TRL,22 Mar 2018 to 27 Mar 2018,10.00,4000
221,Equity,OBCL,22 Mar 2018 to 26 Mar 2018,10.00,4000
222,Equity,LEX,12 Mar 2018 to 23 Mar 2018,10.00,2000
223,Equity,YASHO,19 Mar 2018 to 21 Mar 2018,10.00,1200
224,Equity,ACTIVE,12 Mar 2018 to 16 Mar 2018,10.00,2000
225,Equity,ADVITIYA,14 Mar 2018 to 16 Mar 2018,10.00,8000
226,Equity,RIDINGS,14 Mar 2018 to 16 Mar 2018,10.00,8000
227,Equity,SHREESHAY,09 Mar 2018 to 13 Mar 2018,10.00,8000
228,Equity,INFLAME,06 Mar 2018 to 08 Mar 2018,10.00,2000
229,Equity,EIS,05 Mar 2018 to 07 Mar 2018,10.00,160
230,Equity,ANGEL,20 Feb 2018 to 23 Feb 2018,10.00,4000
231,Equity,BHATIA,08 Feb 2018 to 12 Feb 2018,10.00,1000
232,Equity,TDSL,07 Feb 2018 to 12 Feb 2018,10.00,3000
233,Equity,KENVI,02 Feb 2018 to 07 Feb 2018,10.00,3000
234,Equity,LAL,31 Jan 2018 to 06 Feb 2018,10.00,10000
235,Equity,GUJHYSPIN,25 Jan 2018 to 31 Jan 2018,10.00,10000
236,Equity,MEDICO,29 Jan 2018 to 31 Jan 2018,10.00,1200
237,Equity,GGL,24 Jan 2018 to 30 Jan 2018,10.00,3000
238,Equity,AML,23 Jan 2018 to 25 Jan 2018,10.00,6000
239,Equity,CRPRML,18 Jan 2018 to 22 Jan 2018,10.00,2000
240,Equity,JFL,29 Dec 2017 to 04 Jan 2018,10.00,2000
241,Equity,RFMSLTD,29 Dec 2017 to 03 Jan 2018,10.00,3000
242,Equity,DML,11 Dec 2017 to 14 Dec 2017,10.00,10000
243,Equity,TKC,11 Dec 2017 to 14 Dec 2017,10.00,4000
244,Equity,MRCEXIM,06 Dec 2017 to 08 Dec 2017,10.00,8000
245,Equity,DYNAMIC,04 Dec 2017 to 06 Dec 2017,10.00,3000
246,Equity,RATNABHUMI,04 Dec 2017 to 06 Dec 2017,10.00,2000
247,Equity,SHARIKA,15 Nov 2017 to 17 Nov 2017,10.00,3000
248,Equity,SANGHVI,10 Nov 2017 to 14 Nov 2017,10.00,2000
249,Equity,SHEETAL,16 Oct 2017 to 18 Oct 2017,10.00,1600
250,Equity,KAARYAFAC,12 Oct 2017 to 17 Oct 2017,10.00,3000
251,Equity,SGRL,28 Sep 2017 to 05 Oct 2017,10.00,3000
252,Equity,STL,29 Sep 2017 to 05 Oct 2017,10.00,1000
253,Equity,IRIS,29 Sep 2017 to 04 Oct 2017,10.00,4000
254,Equity,MEHAI,25 Sep 2017 to 28 Sep 2017,10.00,3000
255,Equity,VANTABIO,25 Sep 2017 to 27 Sep 2017,10.00,3000
256,Equity,POOJA,22 Sep 2017 to 26 Sep 2017,10.00,3000
257,Equity,SISL,21 Sep 2017 to 26 Sep 2017,10.00,3000
258,Equity,TRIDENT,21 Sep 2017 to 26 Sep 2017,10.00,4000
259,Equity,AKM,20 Sep 2017 to 22 Sep 2017,10.00,6000
260,Equity,NOURITRANS,04 Sep 2017 to 07 Sep 2017,10.00,4000
261,Equity,AMFL,01 Sep 2017 to 06 Sep 2017,10.00,8000
262,Equity,DWL,31 Aug 2017 to 04 Sep 2017,10.00,6000
263,Equity,ANG,29 Aug 2017 to 31 Aug 2017,10.00,1600
264,Equity,SHISHIND,23 Aug 2017 to 28 Aug 2017,10.00,4000
265,Equity,AMML,07 Aug 2017 to 11 Aug 2017,10.00,10000
266,Equity,GSTL,26 Jul 2017 to 28 Jul 2017,10.00,2000
267,Equity,CTCL,20 Jul 2017 to 24 Jul 2017,10.00,3000
268,Equity,JIGAR,18 Jul 2017 to 20 Jul 2017,10.00,4000
269,Equity,SALASAR,12 Jul 2017 to 17 Jul 2017,10.00,125
270,Equity,7NR,05 Jul 2017 to 10 Jul 2017,10.00,4000
271,Equity,GGENG,30 Jun 2017 to 07 Jul 2017,10.00,6000
272,Equity,GEL,29 Jun 2017 to 03 Jul 2017,10.00,3000
273,Equity,RIDDICORP,12 Jun 2017 to 15 Jun 2017,10.00,1000
274,Equity,YUG,18 May 2017 to 23 May 2017,10.00,4000
275,Equity,BHAKTI,17 May 2017 to 22 May 2017,10.00,6000
276,Equity,MEERA,27 Apr 2017 to 04 May 2017,10.00,3000
277,Equity,PGL,26 Apr 2017 to 28 Apr 2017,10.00,10000
278,Equity,KMS,12 Apr 2017 to 17 Apr 2017,10.00,4000
279,Equity,ESCORP,31 Mar 2017 to 06 Apr 2017,10.00,8000
280,Equity,OCTAWARE,17 Mar 2017 to 24 Mar 2017,10.00,1600
281,Equity,RELSTRUCT,22 Mar 2017 to 24 Mar 2017,10.00,3000
282,Equity,PRIMECUST,20 Mar 2017 to 23 Mar 2017,10.00,2000
283,Equity,MANAS,17 Mar 2017 to 22 Mar 2017,10.00,300
284,Equity,MAXIMUS,17 Mar 2017 to 22 Mar 2017,10.00,6000
285,Equity,OCEANIC,20 Mar 2017 to 22 Mar 2017,10.00,2000
286,Equity,CHEMCRUX ,15 Mar 2017 to 20 Mar 2017,10.00,8000
287,Equity,JDL,15 Mar 2017 to 17 Mar 2017,10.00,3000
288,Equity,SMLT,10 Mar 2017 to 17 Mar 2017,10.00,4000
289,Equity,IFL,07 Mar 2017 to 10 Mar 2017,10.00,6000
290,Equity,RMC,28 Feb 2017 to 03 Mar 2017,10.00,4000
291,Equity,TANVI,17 Feb 2017 to 22 Feb 2017,10.00,2000
292,Equity,SKL,18 Jan 2017 to 24 Jan 2017,10.00,10000
293,Equity,VOL,23 Dec 2016 to 28 Dec 2016,10.00,3000
294,Equity,AVL,28 Nov 2016 to 05 Dec 2016,10.00,8000
295,Equity,BINDALEXPO,30 Sep 2016 to 06 Oct 2016,10.00,8000
296,Equity,IGRL,30 Sep 2016 to 06 Oct 2016,10.00,4000
297,Equity,MHEL,30 Sep 2016 to 06 Oct 2016,10.00,6000
298,Equity,SHASHIJIT,30 Sep 2016 to 06 Oct 2016,10.00,8000
299,Equity,ACML,29 Sep 2016 to 05 Oct 2016,10.00,8000
300,Equity,DRA,30 Sep 2016 to 04 Oct 2016,10.00,10000
301,Equity,VALIANTORG,29 Sep 2016 to 04 Oct 2016,10.00,600
302,Equity,RADHIKAJEW,14 Sep 2016 to 20 Sep 2016,10.00,1600
303,Equity,RSTL,02 Sep 2016 to 07 Sep 2016,10.00,3000
304,Equity,SEML,01 Sep 2016 to 07 Sep 2016,10.00,10000
305,Equity,NARAYANI,01 Sep 2016 to 06 Sep 2016,10.00,4000
306,Equity,SPRAYKING,31 Aug 2016 to 02 Sep 2016,10.00,6000
307,Equity,MITSU,26 Aug 2016 to 31 Aug 2016,10.00,1200
308,Equity,SHIVAEXPO,23 Aug 2016 to 29 Aug 2016,10.00,10000
309,Equity,PTIL,22 Jul 2016 to 26 Jul 2016,10.00,2000
310,Equity,KPL,30 Jun 2016 to 08 Jul 2016,10.00,3000
311,Equity,COMSYN,30 Jun 2016 to 05 Jul 2016,10.00,6000
312,Equity,TITAANIUM,30 Jun 2016 to 05 Jul 2016,10.00,8000
313,Equity,ASYL,30 Jun 2016 to 04 Jul 2016,10.00,10000
314,Equity,ZEAL,27 Jun 2016 to 30 Jun 2016,10.00,1000
